name,e-number,toxicity,origin,clasif,link
Dióxido de Azufre,---,---,---,---,https://hablemosclaro.org/ingrepedia/dioxido-de-azufre/
Dióxido de Carbono,---,---,---,---,https://hablemosclaro.org/ingrepedia/dioxido-de-carbono/
EDTA Cálcico – Disódico,---,---,---,---,https://hablemosclaro.org/ingrepedia/edta-calcico-disodico/
Etil Lauril Arginato,---,---,---,---,https://hablemosclaro.org/ingrepedia/etil-lauril-arginato/
Gluconato de Sodio,---,---,---,---,https://hablemosclaro.org/ingrepedia/gluconato-de-sodio/
Lactato de Sodio,---,---,---,---,https://hablemosclaro.org/ingrepedia/lactato-de-sodio/
Lisozima,---,---,---,---,https://hablemosclaro.org/ingrepedia/lisozima/
Metabisulfito de Sodio,---,---,---,---,https://hablemosclaro.org/ingrepedia/metabisulfito-de-sodio/
Natamicina,---,---,---,---,https://hablemosclaro.org/ingrepedia/natamicina/
Nisina,---,---,---,---,https://hablemosclaro.org/ingrepedia/nisina/
Nitrato de Potasio,---,---,---,---,https://hablemosclaro.org/ingrepedia/nitrato-de-potasio/
Nitrito de Sodio,---,---,---,---,https://hablemosclaro.org/ingrepedia/nitrito-de-sodio/
Ortofenilfenol,---,---,---,---,https://hablemosclaro.org/ingrepedia/ortofenilfenol/
Peróxido de Benzoílo,---,---,---,---,https://hablemosclaro.org/ingrepedia/peroxido-de-benzoilo/
Propionato de Sodio,---,---,---,---,https://hablemosclaro.org/ingrepedia/propionato-de-sodio/
Quitosán,---,---,---,---,https://hablemosclaro.org/ingrepedia/quitosan/
Tetraborato de Sodio,---,---,---,---,https://hablemosclaro.org/ingrepedia/tetraborato-de-sodio/
Sorbato de Potasio,---,---,---,---,https://hablemosclaro.org/ingrepedia/sorbato-de-potasio/
Sulfato de Cobre,---,---,---,---,https://hablemosclaro.org/ingrepedia/sulfato-de-cobre/
HIDROXIBENZOATO DE HEPTILO,---,---,---,---,https://hablemosclaro.org/hidroxibenzoato-de-heptilo/
Hidroxibenzoato de metilo,---,---,---,---,https://hablemosclaro.org/p-hidroxibenzoato-de-metilo/
Hidroxibenzoato de propilo ,---,---,---,---,https://hablemosclaro.org/5852-2/
Nitrito de potasio,---,---,---,---,https://hablemosclaro.org/nitrito-de-potasio/
Sulfito ácido de calcio,---,---,---,---,https://hablemosclaro.org/5901-2/
Tiosulfato de sodio,---,---,---,---,https://hablemosclaro.org/tiosulfato-de-so…sulfito-de-sodio/
Tartrato hidrogenado de sodio,---,---,---,---,https://hablemosclaro.org/5913-2/
Tartrato de sodio,---,---,---,---,https://hablemosclaro.org/tartrato-de-sodio/
Bisulfito de potasio,---,---,---,---,https://hablemosclaro.org/bisulfito-de-potasio/
Tartrato de potasio ,---,---,---,---,https://hablemosclaro.org/5929-2/
Tartrato dipotásico,---,---,---,---,https://hablemosclaro.org/5929-2/
Tartrato de potasio y sodio,---,---,---,---,https://hablemosclaro.org/tartrato-de-potasio-y-sodio/
Sulfito de sodio,---,---,---,---,https://hablemosclaro.org/sulfito-de-sodio/
Ácido eritórbico,---,---,---,---,https://hablemosclaro.org/acetato-de-amonio/
Agentes Emulsificantes o Emulsionantes (Antisalpicantes/ Enturbiantes) ,---,---,---,---,#1503613710375-476ff9ec-573f
Aceite Mineral,---,---,---,---,https://hablemosclaro.org/ingrepedia/aceite-mineral/
Aceite Vegetal Bromado (BVO),---,---,---,---,https://hablemosclaro.org/ingrepedia/aceite-vegetal-bromado-bvo/
Aceite Vegetal Neutro (MCT),---,---,---,---,https://hablemosclaro.org/ingrepedia/aceite-vegetal-neutro-mct/
Acetato Isobutirato de Sacarosa (SAIB),---,---,---,---,https://hablemosclaro.org/ingrepedia/acetato-isobutirato-de-sacarosa-saib/
Alginato de Amonio,---,---,---,---,https://hablemosclaro.org/ingrepedia/alginato-de-amonio/
Alginato de Calcio,---,---,---,---,https://hablemosclaro.org/ingrepedia/alginato-de-calcio/
Alginato de Potasio,---,---,---,---,https://hablemosclaro.org/ingrepedia/alginato-de-potasio/
Alginato de Propilenglicol (PGA),---,---,---,---,https://hablemosclaro.org/ingrepedia/alginato-de-propilenglicol-pga/
Alginato de Sodio,---,---,---,---,https://hablemosclaro.org/ingrepedia/alginato-de-sodio/
Almidón Modificado,---,---,---,---,https://hablemosclaro.org/ingrepedia/almidon-modificado/
Caseinato de Sodio,---,---,---,---,https://hablemosclaro.org/ingrepedia/caseinato-de-sodio/
Celulosa Microcristalina,---,---,---,---,https://hablemosclaro.org/ingrepedia/celulosa-microcristalina/
Citrato de Triamonio,---,---,---,---,https://hablemosclaro.org/ingrepedia/citrato-de-triamonio/
Citrato de Trietilo,---,---,---,---,https://hablemosclaro.org/ingrepedia/citrato-de-trietilo/
Citratos Sódicos,---,---,---,---,https://hablemosclaro.org/ingrepedia/citratos-sodicos/
Color Caramelo,---,---,---,---,https://hablemosclaro.org/ingrepedia/color-caramelo/
DATEM (Ésteres de Glicerol y Ácidos Grasos del Ácido Diacetil Tartárico),---,---,---,---,https://hablemosclaro.org/ingrepedia/esteres-de-glicerol-y-acidos-grasos-del-acido-diacetil-tartarico-datem/
Difosfato Disódico,---,---,---,---,https://hablemosclaro.org/ingrepedia/difosfato-disodico/
Difosfatos,---,---,---,---,https://hablemosclaro.org/ingrepedia/difosfatos/
Dioctilsulfosuccinato de Sodio (DSS),---,---,---,---,https://hablemosclaro.org/ingrepedia/dioctilsulfosuccinato-de-sodio-dss/
Estearoil Lactilato de Calcio (CSL),---,---,---,---,https://hablemosclaro.org/ingrepedia/estearoil-lactilato-de-calcio-csl/
Estearoil Lactilato de Sodio (SSL),---,---,---,---,https://hablemosclaro.org/ingrepedia/estearoil-lactilato-de-sodio-ssl/
Estereatos de Polioxietileno,---,---,---,---,https://hablemosclaro.org/ingrepedia/estereatos-de-polioxietileno/
Ésteres de Ácidos Grasos de Sacarosa,---,---,---,---,https://hablemosclaro.org/ingrepedia/esteres-de-acidos-grasos-de-sacarosa/
Fosfato Sódico de Aluminio,---,---,---,---,https://hablemosclaro.org/ingrepedia/fosfato-sodico-de-aluminio/
Gelatina / Grenetina,---,---,---,---,https://hablemosclaro.org/ingrepedia/gelatina-grenetina/
Goma Arábiga,---,---,---,---,https://hablemosclaro.org/ingrepedia/goma-arabiga/
Goma Cassia,---,---,---,---,https://hablemosclaro.org/ingrepedia/goma-cassia/
Goma Dammar,---,---,---,---,https://hablemosclaro.org/ingrepedia/goma-dammar/
Goma Ghatti,---,---,---,---,https://hablemosclaro.org/ingrepedia/goma-ghatti/
Goma Rosina,---,---,---,---,https://hablemosclaro.org/ingrepedia/goma-rosina/
Goma Tara,---,---,---,---,https://hablemosclaro.org/ingrepedia/goma-tara/
Goma de Xantano,---,---,---,---,https://hablemosclaro.org/ingrepedia/goma-de-xantano/
Hidroxipropilcelulosa,---,---,---,---,https://hablemosclaro.org/ingrepedia/hidroxipropilcelulosa/
Hidroxipropilmetilcelulosa,---,---,---,---,https://hablemosclaro.org/ingrepedia/hidroxipropilmetilcelulosa/
Lactato de Potasio,---,---,---,---,https://hablemosclaro.org/ingrepedia/lactato-de-potasio/
Lecitina de Girasol,---,---,---,---,https://hablemosclaro.org/ingrepedia/lecitina-de-girasol/
Lecitina de Soya,---,---,---,---,https://hablemosclaro.org/ingrepedia/lecitina-de-soya/
Metil Celulosa,---,---,---,---,https://hablemosclaro.org/ingrepedia/metil-celulosa/
Metil Etil Celulosa,---,---,---,---,https://hablemosclaro.org/ingrepedia/metil-etil-celulosa/
Monoesterato de Sorbitán,---,---,---,---,https://hablemosclaro.org/ingrepedia/monoesterato-de-sorbitan/
Monoglicéridos y Diglicéridos de Ácidos Grasos,---,---,---,---,https://hablemosclaro.org/ingrepedia/mono-y-digliceridos-de-acidos-grasos/
Oligoésteres de Sacarosa tipo I y II,---,---,---,---,https://hablemosclaro.org/ingrepedia/oligoesteres-de-sacarosa-tipo-i-y-ii/
Polidimetilsiloxano,---,---,---,---,https://hablemosclaro.org/ingrepedia/polidimetilsiloxano/
